"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"GO:0010875~positive regulation of cholesterol efflux"	-0.182395482110731	1	213	11	0
"GO:0019395~fatty acid oxidation"	-0.182395482110731	1	213	14	0
"GO:0070208~protein heterotrimerization"	-0.182395482110731	1	213	10	0
"GO:0032757~positive regulation of interleukin-8 production"	-0.182395482110731	1	213	19	0
"GO:0018279~protein N-linked glycosylation via asparagine"	-0.182395482110731	1	213	86	0
"GO:0006959~humoral immune response"	-0.182395482110731	1	213	47	0
"GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway"	-0.182395482110731	1	213	44	0
"GO:0010800~positive regulation of peptidyl-threonine phosphorylation"	-0.182395482110731	1	213	15	0
"GO:0032092~positive regulation of protein binding"	-0.182395482110731	1	213	34	0
"GO:0033138~positive regulation of peptidyl-serine phosphorylation"	-0.182395482110731	1	213	45	0
"GO:0007631~feeding behavior"	-0.182395482110731	1	213	37	0
"GO:2000310~regulation of N-methyl-D-aspartate selective glutamate receptor activity"	-0.182395482110731	1	213	10	0
"GO:0010001~glial cell differentiation"	-0.182395482110731	1	213	18	0
"GO:0051968~positive regulation of synaptic transmission, glutamatergic"	-0.182395482110731	1	213	14	0
"GO:0032008~positive regulation of TOR signaling cascade"	-0.182395482110731	1	213	14	0
"GO:0050804~regulation of synaptic transmission"	-0.182395482110731	1	213	17	0
"GO:0048265~response to pain"	-0.182395482110731	1	213	17	0
"GO:0008306~associative learning"	-0.182395482110731	1	213	25	0
"GO:0007616~long-term memory"	-0.182395482110731	1	213	23	0
"GO:0035023~regulation of Rho protein signal transduction"	-0.182395482110731	1	213	71	0
"GO:0006956~complement activation"	-0.182395482110731	1	213	45	0
"GO:0007265~Ras protein signal transduction"	-0.182395482110731	1	213	72	0
"GO:0008624~induction of apoptosis by extracellular signals"	-0.182395482110731	1	213	106	0
"GO:0016925~protein sumoylation"	-0.182395482110731	1	213	23	0
"GO:0048545~response to steroid hormone stimulus"	-0.182395482110731	1	213	32	0
"GO:0001101~response to acid"	-0.182395482110731	1	213	16	0
"GO:0051272~positive regulation of cellular component movement"	-0.182395482110731	1	213	12	0
"GO:0045749~negative regulation of S phase of mitotic cell cycle"	-0.182395482110731	1	213	10	0
"GO:0001953~negative regulation of cell-matrix adhesion"	-0.182395482110731	1	213	11	0
"GO:0048821~erythrocyte development"	-0.182395482110731	1	213	13	0
"GO:0000060~protein import into nucleus, translocation"	-0.182395482110731	1	213	25	0
"GO:0005978~glycogen biosynthetic process"	-0.182395482110731	1	213	17	0
"GO:0071805~potassium ion transmembrane transport"	-0.182395482110731	1	213	42	0
"GO:0030163~protein catabolic process"	-0.182395482110731	1	213	43	0
"GO:0032729~positive regulation of interferon-gamma production"	-0.182395482110731	1	213	34	0
"GO:0046427~positive regulation of JAK-STAT cascade"	-0.182395482110731	1	213	17	0
"GO:0032968~positive regulation of transcription elongation from RNA polymerase II promoter"	-0.182395482110731	1	213	10	0
"GO:0010390~histone monoubiquitination"	-0.182395482110731	1	213	10	0
"GO:0006270~DNA-dependent DNA replication initiation"	-0.182395482110731	1	213	22	0
"GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway"	-0.182395482110731	1	213	40	0
"GO:0035914~skeletal muscle cell differentiation"	-0.182395482110731	1	213	11	0
"GO:0010259~multicellular organismal aging"	-0.182395482110731	1	213	13	0
"GO:0001736~establishment of planar polarity"	-0.182395482110731	1	213	10	0
"GO:0048745~smooth muscle tissue development"	-0.182395482110731	1	213	14	0
"GO:0043616~keratinocyte proliferation"	-0.182395482110731	1	213	14	0
"GO:0043523~regulation of neuron apoptotic process"	-0.182395482110731	1	213	15	0
"GO:0048485~sympathetic nervous system development"	-0.182395482110731	1	213	22	0
"GO:0031069~hair follicle morphogenesis"	-0.182395482110731	1	213	25	0
"GO:0051402~neuron apoptotic process"	-0.182395482110731	1	213	28	0
"GO:0034644~cellular response to UV"	-0.182395482110731	1	213	21	0
"GO:0042771~DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis"	-0.182395482110731	1	213	27	0
"GO:0006978~DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator"	-0.182395482110731	1	213	14	0
"GO:0048646~anatomical structure formation involved in morphogenesis"	-0.182395482110731	1	213	20	0
"GO:0045786~negative regulation of cell cycle"	-0.182395482110731	1	213	45	0
"GO:0016239~positive regulation of macroautophagy"	-0.182395482110731	1	213	10	0
"GO:0001836~release of cytochrome c from mitochondria"	-0.182395482110731	1	213	25	0
"GO:0048712~negative regulation of astrocyte differentiation"	-0.182395482110731	1	213	12	0
"GO:0050769~positive regulation of neurogenesis"	-0.182395482110731	1	213	18	0
"GO:0045746~negative regulation of Notch signaling pathway"	-0.182395482110731	1	213	14	0
"GO:0009888~tissue development"	-0.182395482110731	1	213	30	0
"GO:0008340~determination of adult lifespan"	-0.182395482110731	1	213	12	0
"GO:0001708~cell fate specification"	-0.182395482110731	1	213	20	0
"GO:0030728~ovulation"	-0.182395482110731	1	213	11	0
"GO:0017015~regulation of transforming growth factor beta receptor signaling pathway"	-0.182395482110731	1	213	16	0
"GO:0006306~DNA methylation"	-0.182395482110731	1	213	24	0
"GO:0030218~erythrocyte differentiation"	-0.182395482110731	1	213	36	0
"GO:0048384~retinoic acid receptor signaling pathway"	-0.182395482110731	1	213	17	0
"GO:0071300~cellular response to retinoic acid"	-0.182395482110731	1	213	50	0
"GO:0051568~histone H3-K4 methylation"	-0.182395482110731	1	213	15	0
"GO:0050808~synapse organization"	-0.182395482110731	1	213	25	0
"GO:0007009~plasma membrane organization"	-0.182395482110731	1	213	10	0
"GO:0043113~receptor clustering"	-0.182395482110731	1	213	16	0
"GO:0002062~chondrocyte differentiation"	-0.182395482110731	1	213	31	0
"GO:0048863~stem cell differentiation"	-0.182395482110731	1	213	18	0
"GO:0030325~adrenal gland development"	-0.182395482110731	1	213	25	0
"GO:0043392~negative regulation of DNA binding"	-0.182395482110731	1	213	26	0
"GO:0048762~mesenchymal cell differentiation"	-0.182395482110731	1	213	10	0
"GO:0021846~cell proliferation in forebrain"	-0.182395482110731	1	213	12	0
"GO:0030261~chromosome condensation"	-0.182395482110731	1	213	15	0
"GO:0071158~positive regulation of cell cycle arrest"	-0.182395482110731	1	213	15	0
"GO:0006325~chromatin organization"	-0.182395482110731	1	213	27	0
"GO:0043087~regulation of GTPase activity"	-0.182395482110731	1	213	14	0
"GO:0007210~serotonin receptor signaling pathway"	-0.182395482110731	1	213	13	0
"GO:0032855~positive regulation of Rac GTPase activity"	-0.182395482110731	1	213	21	0
"GO:0032312~regulation of ARF GTPase activity"	-0.182395482110731	1	213	23	0
"GO:0042177~negative regulation of protein catabolic process"	-0.182395482110731	1	213	21	0
"GO:0060749~mammary gland alveolus development"	-0.182395482110731	1	213	21	0
"GO:0007224~smoothened signaling pathway"	-0.182395482110731	1	213	40	0
"GO:0007257~activation of JUN kinase activity"	-0.182395482110731	1	213	40	0
"GO:0050896~response to stimulus"	-0.182395482110731	1	213	64	0
"GO:0045494~photoreceptor cell maintenance"	-0.182395482110731	1	213	25	0
"GO:0043001~Golgi to plasma membrane protein transport"	-0.182395482110731	1	213	11	0
"GO:0006970~response to osmotic stress"	-0.182395482110731	1	213	19	0
"GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process"	-0.182395482110731	1	213	62	0
"GO:0060644~mammary gland epithelial cell differentiation"	-0.182395482110731	1	213	13	0
"GO:0008643~carbohydrate transport"	-0.182395482110731	1	213	23	0
"GO:0045725~positive regulation of glycogen biosynthetic process"	-0.182395482110731	1	213	12	0
"GO:2000147~positive regulation of cell motility"	-0.182395482110731	1	213	10	0
"GO:0050710~negative regulation of cytokine secretion"	-0.182395482110731	1	213	12	0
"GO:0009650~UV protection"	-0.182395482110731	1	213	10	0
"GO:0017187~peptidyl-glutamic acid carboxylation"	-0.182395482110731	1	213	11	0
"GO:0030449~regulation of complement activation"	-0.182395482110731	1	213	21	0
"GO:0071320~cellular response to cAMP"	-0.182395482110731	1	213	20	0
"GO:0002028~regulation of sodium ion transport"	-0.182395482110731	1	213	14	0
"GO:0033198~response to ATP"	-0.182395482110731	1	213	16	0
"GO:0051924~regulation of calcium ion transport"	-0.182395482110731	1	213	17	0
"GO:0060402~calcium ion transport into cytosol"	-0.182395482110731	1	213	11	0
"GO:0015012~heparan sulfate proteoglycan biosynthetic process"	-0.182395482110731	1	213	13	0
"GO:0000080~G1 phase of mitotic cell cycle"	-0.182395482110731	1	213	39	0
"GO:0032715~negative regulation of interleukin-6 production"	-0.182395482110731	1	213	19	0
"GO:0032088~negative regulation of NF-kappaB transcription factor activity"	-0.182395482110731	1	213	49	0
"GO:0032695~negative regulation of interleukin-12 production"	-0.182395482110731	1	213	10	0
"GO:0070498~interleukin-1-mediated signaling pathway"	-0.182395482110731	1	213	11	0
"GO:0045070~positive regulation of viral genome replication"	-0.182395482110731	1	213	10	0
"GO:0050714~positive regulation of protein secretion"	-0.182395482110731	1	213	22	0
"GO:0030177~positive regulation of Wnt receptor signaling pathway"	-0.182395482110731	1	213	22	0
"GO:0048286~lung alveolus development"	-0.182395482110731	1	213	32	0
"GO:0032332~positive regulation of chondrocyte differentiation"	-0.182395482110731	1	213	16	0
"GO:0048566~embryonic digestive tract development"	-0.182395482110731	1	213	20	0
"GO:0006694~steroid biosynthetic process"	-0.182395482110731	1	213	31	0
"GO:0019226~transmission of nerve impulse"	-0.182395482110731	1	213	14	0
"GO:0030534~adult behavior"	-0.182395482110731	1	213	15	0
"GO:0001522~pseudouridine synthesis"	-0.182395482110731	1	213	12	0
"GO:0009451~RNA modification"	-0.182395482110731	1	213	14	0
"GO:0048706~embryonic skeletal system development"	-0.182395482110731	1	213	39	0
"GO:0032927~positive regulation of activin receptor signaling pathway"	-0.182395482110731	1	213	10	0
"GO:0034341~response to interferon-gamma"	-0.182395482110731	1	213	21	0
"GO:0033280~response to vitamin D"	-0.182395482110731	1	213	19	0
"GO:0045618~positive regulation of keratinocyte differentiation"	-0.182395482110731	1	213	10	0
"GO:0046697~decidualization"	-0.182395482110731	1	213	17	0
"GO:0042359~vitamin D metabolic process"	-0.182395482110731	1	213	11	0
"GO:0008202~steroid metabolic process"	-0.182395482110731	1	213	62	0
"GO:0006400~tRNA modification"	-0.182395482110731	1	213	10	0
"GO:0006730~one-carbon metabolic process"	-0.182395482110731	1	213	25	0
"GO:0050775~positive regulation of dendrite morphogenesis"	-0.182395482110731	1	213	14	0
"GO:0007405~neuroblast proliferation"	-0.182395482110731	1	213	14	0
"GO:0008045~motor axon guidance"	-0.182395482110731	1	213	22	0
"GO:0006996~organelle organization"	-0.182395482110731	1	213	13	0
"GO:0017144~drug metabolic process"	-0.182395482110731	1	213	21	0
"GO:0006488~dolichol-linked oligosaccharide biosynthetic process"	-0.182395482110731	1	213	31	0
"GO:0016486~peptide hormone processing"	-0.182395482110731	1	213	21	0
"GO:0006884~cell volume homeostasis"	-0.182395482110731	1	213	11	0
"GO:0030010~establishment of cell polarity"	-0.182395482110731	1	213	20	0
"GO:0032753~positive regulation of interleukin-4 production"	-0.182395482110731	1	213	11	0
"GO:0050885~neuromuscular process controlling balance"	-0.182395482110731	1	213	38	0
"GO:0001675~acrosome assembly"	-0.182395482110731	1	213	10	0
"GO:0045931~positive regulation of mitotic cell cycle"	-0.182395482110731	1	213	25	0
"GO:0045773~positive regulation of axon extension"	-0.182395482110731	1	213	19	0
"GO:0045954~positive regulation of natural killer cell mediated cytotoxicity"	-0.182395482110731	1	213	17	0
"GO:0042832~defense response to protozoan"	-0.182395482110731	1	213	10	0
"GO:0042088~T-helper 1 type immune response"	-0.182395482110731	1	213	12	0
"GO:0021772~olfactory bulb development"	-0.182395482110731	1	213	17	0
"GO:0060395~SMAD protein signal transduction"	-0.182395482110731	1	213	17	0
"GO:0002089~lens morphogenesis in camera-type eye"	-0.182395482110731	1	213	15	0
"GO:0009948~anterior/posterior axis specification"	-0.182395482110731	1	213	16	0
"GO:0060325~face morphogenesis"	-0.182395482110731	1	213	28	0
"GO:0048741~skeletal muscle fiber development"	-0.182395482110731	1	213	14	0
"GO:0070207~protein homotrimerization"	-0.182395482110731	1	213	18	0
"GO:0043388~positive regulation of DNA binding"	-0.182395482110731	1	213	21	0
"GO:0060349~bone morphogenesis"	-0.182395482110731	1	213	21	0
"GO:0048870~cell motility"	-0.182395482110731	1	213	13	0
"GO:0043086~negative regulation of catalytic activity"	-0.182395482110731	1	213	32	0
"GO:0006890~retrograde vesicle-mediated transport, Golgi to ER"	-0.182395482110731	1	213	25	0
"GO:0008203~cholesterol metabolic process"	-0.182395482110731	1	213	66	0
"GO:0046907~intracellular transport"	-0.182395482110731	1	213	21	0
"GO:0042157~lipoprotein metabolic process"	-0.182395482110731	1	213	40	0
"GO:0048168~regulation of neuronal synaptic plasticity"	-0.182395482110731	1	213	19	0
"GO:0048844~artery morphogenesis"	-0.182395482110731	1	213	20	0
"GO:0007271~synaptic transmission, cholinergic"	-0.182395482110731	1	213	15	0
"GO:0033344~cholesterol efflux"	-0.182395482110731	1	213	22	0
"GO:0006707~cholesterol catabolic process"	-0.182395482110731	1	213	11	0
"GO:0033700~phospholipid efflux"	-0.182395482110731	1	213	11	0
"GO:0051044~positive regulation of membrane protein ectodomain proteolysis"	-0.182395482110731	1	213	14	0
"GO:0043691~reverse cholesterol transport"	-0.182395482110731	1	213	18	0
"GO:0034375~high-density lipoprotein particle remodeling"	-0.182395482110731	1	213	15	0
"GO:0051000~positive regulation of nitric-oxide synthase activity"	-0.182395482110731	1	213	11	0
"GO:0055088~lipid homeostasis"	-0.182395482110731	1	213	14	0
"GO:0016558~protein import into peroxisome matrix"	-0.182395482110731	1	213	11	0
"GO:0006096~glycolysis"	-0.182395482110731	1	213	43	0
"GO:0010226~response to lithium ion"	-0.182395482110731	1	213	11	0
"GO:0050995~negative regulation of lipid catabolic process"	-0.182395482110731	1	213	15	0
"GO:0070328~triglyceride homeostasis"	-0.182395482110731	1	213	18	0
"GO:0042953~lipoprotein transport"	-0.182395482110731	1	213	13	0
"GO:0007338~single fertilization"	-0.182395482110731	1	213	29	0
"GO:0048266~behavioral response to pain"	-0.182395482110731	1	213	13	0
"GO:0007613~memory"	-0.182395482110731	1	213	45	0
"GO:0043306~positive regulation of mast cell degranulation"	-0.182395482110731	1	213	10	0
"GO:0043526~neuroprotection"	-0.182395482110731	1	213	27	0
"GO:0007565~female pregnancy"	-0.182395482110731	1	213	80	0
"GO:0007190~activation of adenylate cyclase activity"	-0.182395482110731	1	213	29	0
"GO:0007567~parturition"	-0.182395482110731	1	213	10	0
"GO:0001841~neural tube formation"	-0.182395482110731	1	213	15	0
"GO:0080111~DNA demethylation"	-0.182395482110731	1	213	11	0
"GO:0008016~regulation of heart contraction"	-0.182395482110731	1	213	37	0
"GO:0006569~tryptophan catabolic process"	-0.182395482110731	1	213	10	0
"GO:0043011~myeloid dendritic cell differentiation"	-0.182395482110731	1	213	13	0
"GO:0006958~complement activation, classical pathway"	-0.182395482110731	1	213	42	0
"GO:0019835~cytolysis"	-0.182395482110731	1	213	26	0
"GO:0006957~complement activation, alternative pathway"	-0.182395482110731	1	213	15	0
"GO:0043393~regulation of protein binding"	-0.182395482110731	1	213	16	0
"GO:0048663~neuron fate commitment"	-0.182395482110731	1	213	29	0
"GO:0048701~embryonic cranial skeleton morphogenesis"	-0.182395482110731	1	213	25	0
"GO:0070723~response to cholesterol"	-0.182395482110731	1	213	10	0
"GO:0048705~skeletal system morphogenesis"	-0.182395482110731	1	213	36	0
"GO:0051897~positive regulation of protein kinase B signaling cascade"	-0.182395482110731	1	213	56	0
"GO:0032331~negative regulation of chondrocyte differentiation"	-0.182395482110731	1	213	13	0
"GO:0045885~positive regulation of survival gene product expression"	-0.182395482110731	1	213	13	0
"GO:0031396~regulation of protein ubiquitination"	-0.182395482110731	1	213	13	0
"GO:0060391~positive regulation of SMAD protein import into nucleus"	-0.182395482110731	1	213	12	0
"GO:0015937~coenzyme A biosynthetic process"	-0.182395482110731	1	213	10	0
"GO:0050860~negative regulation of T cell receptor signaling pathway"	-0.182395482110731	1	213	11	0
"GO:0044130~negative regulation of growth of symbiont in host"	-0.182395482110731	1	213	21	0
"GO:0032760~positive regulation of tumor necrosis factor production"	-0.182395482110731	1	213	31	0
"GO:0045080~positive regulation of chemokine biosynthetic process"	-0.182395482110731	1	213	12	0
"GO:0032735~positive regulation of interleukin-12 production"	-0.182395482110731	1	213	26	0
"GO:0050718~positive regulation of interleukin-1 beta secretion"	-0.182395482110731	1	213	17	0
"GO:0045672~positive regulation of osteoclast differentiation"	-0.182395482110731	1	213	19	0
"GO:0031214~biomineral tissue development"	-0.182395482110731	1	213	20	0
"GO:0050918~positive chemotaxis"	-0.182395482110731	1	213	22	0
"GO:0045930~negative regulation of mitotic cell cycle"	-0.182395482110731	1	213	16	0
"GO:0032435~negative regulation of proteasomal ubiquitin-dependent protein catabolic process"	-0.182395482110731	1	213	14	0
"GO:0045861~negative regulation of proteolysis"	-0.182395482110731	1	213	23	0
"GO:0018393~internal peptidyl-lysine acetylation"	-0.182395482110731	1	213	10	0
"GO:0048469~cell maturation"	-0.182395482110731	1	213	38	0
"GO:0051216~cartilage development"	-0.182395482110731	1	213	70	0
"GO:0030513~positive regulation of BMP signaling pathway"	-0.182395482110731	1	213	27	0
"GO:0048715~negative regulation of oligodendrocyte differentiation"	-0.182395482110731	1	213	12	0
"GO:0050767~regulation of neurogenesis"	-0.182395482110731	1	213	11	0
"GO:0021915~neural tube development"	-0.182395482110731	1	213	33	0
"GO:0048066~developmental pigmentation"	-0.182395482110731	1	213	14	0
"GO:0032438~melanosome organization"	-0.182395482110731	1	213	13	0
"GO:0043473~pigmentation"	-0.182395482110731	1	213	31	0
"GO:0032874~positive regulation of stress-activated MAPK cascade"	-0.182395482110731	1	213	15	0
"GO:0001578~microtubule bundle formation"	-0.182395482110731	1	213	19	0
"GO:0043068~positive regulation of programmed cell death"	-0.182395482110731	1	213	11	0
"GO:0051090~regulation of sequence-specific DNA binding transcription factor activity"	-0.182395482110731	1	213	55	0
"GO:0006259~DNA metabolic process"	-0.182395482110731	1	213	36	0
"GO:0006600~creatine metabolic process"	-0.182395482110731	1	213	11	0
"GO:0009058~biosynthetic process"	-0.182395482110731	1	213	69	0
"GO:0001516~prostaglandin biosynthetic process"	-0.182395482110731	1	213	15	0
"GO:0031581~hemidesmosome assembly"	-0.182395482110731	1	213	12	0
"GO:0060441~epithelial tube branching involved in lung morphogenesis"	-0.182395482110731	1	213	15	0
"GO:0045879~negative regulation of smoothened signaling pathway"	-0.182395482110731	1	213	19	0
"GO:0043249~erythrocyte maturation"	-0.182395482110731	1	213	11	0
"GO:0009411~response to UV"	-0.182395482110731	1	213	39	0
"GO:0048513~organ development"	-0.182395482110731	1	213	16	0
"GO:0031076~embryonic camera-type eye development"	-0.182395482110731	1	213	10	0
"GO:0006520~cellular amino acid metabolic process"	-0.182395482110731	1	213	57	0
"GO:0050890~cognition"	-0.182395482110731	1	213	17	0
"GO:0046034~ATP metabolic process"	-0.182395482110731	1	213	21	0
"GO:0019370~leukotriene biosynthetic process"	-0.182395482110731	1	213	29	0
"GO:0019369~arachidonic acid metabolic process"	-0.182395482110731	1	213	10	0
"GO:0019233~sensory perception of pain"	-0.182395482110731	1	213	44	0
"GO:0006692~prostanoid metabolic process"	-0.182395482110731	1	213	12	0
"GO:0009303~rRNA transcription"	-0.182395482110731	1	213	13	0
"GO:0030030~cell projection organization"	-0.182395482110731	1	213	25	0
"GO:0048568~embryonic organ development"	-0.182395482110731	1	213	20	0
"GO:0045190~isotype switching"	-0.182395482110731	1	213	13	0
"GO:0048468~cell development"	-0.182395482110731	1	213	23	0
"GO:0006081~cellular aldehyde metabolic process"	-0.182395482110731	1	213	11	0
"GO:0002031~G-protein coupled receptor internalization"	-0.182395482110731	1	213	11	0
"GO:0032012~regulation of ARF protein signal transduction"	-0.182395482110731	1	213	16	0
"GO:0043586~tongue development"	-0.182395482110731	1	213	10	0
"GO:0050872~white fat cell differentiation"	-0.182395482110731	1	213	11	0
"GO:0043278~response to morphine"	-0.182395482110731	1	213	24	0
"GO:0015992~proton transport"	-0.182395482110731	1	213	33	0
"GO:0060348~bone development"	-0.182395482110731	1	213	19	0
"GO:0009100~glycoprotein metabolic process"	-0.182395482110731	1	213	11	0
"GO:0050850~positive regulation of calcium-mediated signaling"	-0.182395482110731	1	213	22	0
"GO:0010524~positive regulation of calcium ion transport into cytosol"	-0.182395482110731	1	213	17	0
"GO:0090004~positive regulation of establishment of protein localization in plasma membrane"	-0.182395482110731	1	213	12	0
"GO:0006401~RNA catabolic process"	-0.182395482110731	1	213	19	0
"GO:0048678~response to axon injury"	-0.182395482110731	1	213	30	0
"GO:0006865~amino acid transport"	-0.182395482110731	1	213	32	0
"GO:0016571~histone methylation"	-0.182395482110731	1	213	24	0
"GO:0006914~autophagy"	-0.182395482110731	1	213	51	0
"GO:0032007~negative regulation of TOR signaling cascade"	-0.182395482110731	1	213	14	0
"GO:0042149~cellular response to glucose starvation"	-0.182395482110731	1	213	13	0
"GO:0010508~positive regulation of autophagy"	-0.182395482110731	1	213	12	0
"GO:0046320~regulation of fatty acid oxidation"	-0.182395482110731	1	213	18	0
"GO:0014823~response to activity"	-0.182395482110731	1	213	35	0
"GO:0031000~response to caffeine"	-0.182395482110731	1	213	11	0
"GO:0071456~cellular response to hypoxia"	-0.182395482110731	1	213	44	0
"GO:0006309~apoptotic DNA fragmentation"	-0.182395482110731	1	213	26	0
"GO:0005980~glycogen catabolic process"	-0.182395482110731	1	213	20	0
"GO:0032570~response to progesterone stimulus"	-0.182395482110731	1	213	27	0
"GO:0045019~negative regulation of nitric oxide biosynthetic process"	-0.182395482110731	1	213	10	0
"GO:0030301~cholesterol transport"	-0.182395482110731	1	213	19	0
"GO:0001570~vasculogenesis"	-0.182395482110731	1	213	61	0
"GO:0033137~negative regulation of peptidyl-serine phosphorylation"	-0.182395482110731	1	213	11	0
"GO:0009267~cellular response to starvation"	-0.182395482110731	1	213	23	0
"GO:0006940~regulation of smooth muscle contraction"	-0.182395482110731	1	213	15	0
"GO:2001238~positive regulation of extrinsic apoptotic signaling pathway"	-0.182395482110731	1	213	12	0
"GO:0051480~cytosolic calcium ion homeostasis"	-0.182395482110731	1	213	12	0
"GO:0051259~protein oligomerization"	-0.182395482110731	1	213	40	0
"GO:0032743~positive regulation of interleukin-2 production"	-0.182395482110731	1	213	10	0
"GO:0034605~cellular response to heat"	-0.182395482110731	1	213	17	0
"GO:0015991~ATP hydrolysis coupled proton transport"	-0.182395482110731	1	213	31	0
"GO:0016338~calcium-independent cell-cell adhesion"	-0.182395482110731	1	213	21	0
"GO:0035329~hippo signaling cascade"	-0.182395482110731	1	213	24	0
"GO:0022409~positive regulation of cell-cell adhesion"	-0.182395482110731	1	213	15	0
"GO:0050870~positive regulation of T cell activation"	-0.182395482110731	1	213	19	0
"GO:0045840~positive regulation of mitosis"	-0.182395482110731	1	213	30	0
"GO:0045740~positive regulation of DNA replication"	-0.182395482110731	1	213	35	0
"GO:0071333~cellular response to glucose stimulus"	-0.182395482110731	1	213	21	0
"GO:0071375~cellular response to peptide hormone stimulus"	-0.182395482110731	1	213	16	0
"GO:0032147~activation of protein kinase activity"	-0.182395482110731	1	213	19	0
"GO:0046677~response to antibiotic"	-0.182395482110731	1	213	33	0
"GO:0031648~protein destabilization"	-0.182395482110731	1	213	18	0
"GO:0045184~establishment of protein localization"	-0.182395482110731	1	213	16	0
"GO:0043518~negative regulation of DNA damage response, signal transduction by p53 class mediator"	-0.182395482110731	1	213	11	0
"GO:0048665~neuron fate specification"	-0.182395482110731	1	213	11	0
"GO:0046415~urate metabolic process"	-0.182395482110731	1	213	10	0
"GO:0016485~protein processing"	-0.182395482110731	1	213	37	0
"GO:0015804~neutral amino acid transport"	-0.182395482110731	1	213	14	0
"GO:0008630~DNA damage response, signal transduction resulting in induction of apoptosis"	-0.182395482110731	1	213	22	0
"GO:0048268~clathrin coat assembly"	-0.182395482110731	1	213	10	0
"GO:0043116~negative regulation of vascular permeability"	-0.182395482110731	1	213	11	0
"GO:0019228~regulation of action potential in neuron"	-0.182395482110731	1	213	15	0
"GO:0043623~cellular protein complex assembly"	-0.182395482110731	1	213	15	0
"GO:0030238~male sex determination"	-0.182395482110731	1	213	11	0
"GO:0007548~sex differentiation"	-0.182395482110731	1	213	21	0
"GO:0006656~phosphatidylcholine biosynthetic process"	-0.182395482110731	1	213	13	0
"GO:0060444~branching involved in mammary gland duct morphogenesis"	-0.182395482110731	1	213	17	0
"GO:0048596~embryonic camera-type eye morphogenesis"	-0.182395482110731	1	213	15	0
"GO:0042733~embryonic digit morphogenesis"	-0.182395482110731	1	213	47	0
"GO:0046849~bone remodeling"	-0.182395482110731	1	213	14	0
"GO:0060042~retina morphogenesis in camera-type eye"	-0.182395482110731	1	213	10	0
"GO:0008629~induction of apoptosis by intracellular signals"	-0.182395482110731	1	213	43	0
"GO:0045926~negative regulation of growth"	-0.182395482110731	1	213	18	0
"GO:0008633~activation of pro-apoptotic gene products"	-0.182395482110731	1	213	32	0
"GO:0009755~hormone-mediated signaling pathway"	-0.182395482110731	1	213	21	0
"GO:0007005~mitochondrion organization"	-0.182395482110731	1	213	34	0
"GO:0007088~regulation of mitosis"	-0.182395482110731	1	213	16	0
"GO:0001508~regulation of action potential"	-0.182395482110731	1	213	19	0
"GO:0031146~SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"	-0.182395482110731	1	213	15	0
"GO:0001523~retinoid metabolic process"	-0.182395482110731	1	213	11	0
"GO:0033189~response to vitamin A"	-0.182395482110731	1	213	16	0
"GO:0042572~retinol metabolic process"	-0.182395482110731	1	213	18	0
"GO:0042573~retinoic acid metabolic process"	-0.182395482110731	1	213	14	0
"GO:0071407~cellular response to organic cyclic compound"	-0.182395482110731	1	213	40	0
"GO:0007276~gamete generation"	-0.182395482110731	1	213	15	0
"GO:0042592~homeostatic process"	-0.182395482110731	1	213	10	0
"GO:0061036~positive regulation of cartilage development"	-0.182395482110731	1	213	11	0
"GO:0009880~embryonic pattern specification"	-0.182395482110731	1	213	25	0
"GO:0008585~female gonad development"	-0.182395482110731	1	213	18	0
"GO:0048008~platelet-derived growth factor receptor signaling pathway"	-0.182395482110731	1	213	23	0
"GO:0021904~dorsal/ventral neural tube patterning"	-0.182395482110731	1	213	16	0
"GO:0051482~elevation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway"	-0.182395482110731	1	213	12	0
"GO:0090023~positive regulation of neutrophil chemotaxis"	-0.182395482110731	1	213	15	0
"GO:0007585~respiratory gaseous exchange"	-0.182395482110731	1	213	34	0
"GO:0060322~head development"	-0.182395482110731	1	213	12	0
"GO:0014032~neural crest cell development"	-0.182395482110731	1	213	15	0
"GO:0030818~negative regulation of cAMP biosynthetic process"	-0.182395482110731	1	213	10	0
"GO:0051281~positive regulation of release of sequestered calcium ion into cytosol"	-0.182395482110731	1	213	14	0
"GO:0032148~activation of protein kinase B activity"	-0.182395482110731	1	213	11	0
"GO:0043122~regulation of I-kappaB kinase/NF-kappaB cascade"	-0.182395482110731	1	213	14	0
"GO:0003323~type B pancreatic cell development"	-0.182395482110731	1	213	10	0
"GO:0007292~female gamete generation"	-0.182395482110731	1	213	19	0
"GO:0006750~glutathione biosynthetic process"	-0.182395482110731	1	213	17	0
"GO:0030889~negative regulation of B cell proliferation"	-0.182395482110731	1	213	12	0
"GO:0010634~positive regulation of epithelial cell migration"	-0.182395482110731	1	213	16	0
"GO:0009312~oligosaccharide biosynthetic process"	-0.182395482110731	1	213	14	0
