GWASCentralALS,NeuroXFDR.05,NeuroXGWS,GWASCentralAD,Subnetwork28,Exac,Cirulli,ADMalacards,ALSMalacards,Pasterkamp,Taylor,ALSOD,ParkinsonsMalacards
CHRM2,,,,,GNB2L1,,,,,,,
TNKS,,,,,LARP4,,,,,,,
GFRA2,,,,,CBX8,,,,,,,
MIR4472-1,,,,,MTF2,,,,,,,
IMPA1,,,,,WDR1,,,,,,,
TRHR,,,,,GRIK2,,,,,,,
UNC5D,,,,,PPAT,,,,,,,
SDC2,,,,,THRB,,,,,,,
TERF1,,,,,CYTH1,,,,,,,
NRG1,,,,,BRD1,,,,,,,
CNBD1,,,,,KANSL3,,,,,,,
UBXN2B,,,,,EEF2,,,,,,,
LOC157381,,,,,CAMK2G,,,,,,,
EIF3H,,,,,FMN2,,,,,,,
TRAM1,,,,,MAP2K1,,,,,,,
RIPK2,,,,,ATP13A1,,,,,,,
LOC100192378,,,,,HCFC2,,,,,,,
NEFM,,,,,AGPAT3,,,,,,,
LOC728724,,,,,NTN4,,,,,,,
MIR30B,,,,,HECTD2,,,,,,,
ZNF706,,,,,LMTK2,,,,,,,
ATP6V1C1,,,,,CABP1,,,,,,,
LOC286094,,,,,PRKCH,,,,,,,
IMPAD1,,,,,FGD5,,,,,,,
LOC100130155,,,,,CADM1,,,,,,,
EXTL3,,,,,OPA1,,,,,,,
NCRNA00251,,,,,PIAS4,,,,,,,
CYLC2,,,,,COPS5,,,,,,,
ASS1,,,,,TOX3,,,,,,,
ACO1,,,,,MEGF10,,,,,,,
PAPPA,,,,,UNK,,,,,,,
TUSC1,,,,,IRAK1,,,,,,,
CEP78,,,,,SESN3,,,,,,,
LOC340515,,,,,PAIP1,,,,,,,
C9orf144,,,,,NFKB1,,,,,,,
DAPK1,,,,,SKP2,,,,,,,
ABO,,,,,MEIS2,,,,,,,
C9orf79,,,,,RPL3,,,,,,,
MIR4478,,,,,HAS2,,,,,,,
LPAR1,,,,,YME1L1,,,,,,,
C9orf82,,,,,CLCN5,,,,,,,
OR1N1,,,,,EIF3D,,,,,,,
ANKRD19P,,,,,PKM,,,,,,,
PIP5K1B,,,,,PCSK2,,,,,,,
ZEB1-AS1,,,,,MALT1,,,,,,,
SORCS1,,,,,SNRK,,,,,,,
LOC100130992,,,,,SS18,,,,,,,
PLXDC2,,,,,NR2C2,,,,,,,
LOC100507127,,,,,PHF2,,,,,,,
NRP1,,,,,PLK1,,,,,,,
FOXI2,,,,,LGR4,,,,,,,
C10orf82,,,,,CNNM2,,,,,,,
LOC100507470,,,,,SF3A1,,,,,,,
GHITM,,,,,RCOR1,,,,,,,
SFTA1P,,,,,BRSK1,,,,,,,
ANXA2P3,,,,,PLXNA2,,,,,,,
CCDC81,,,,,MAK16,,,,,,,
ANO3,,,,,CACNB1,,,,,,,
HNRNPKP3,,,,,NONO,,,,,,,
RCN1,,,,,BRPF3,,,,,,,
NTM,,,,,ACVR2A,,,,,,,
FZD4,,,,,GMPS,,,,,,,
RAB38,,,,,SENP1,,,,,,,
BUD13,,,,,AP2M1,,,,,,,
STK33,,,,,EPB41L2,,,,,,,
CWF19L2,,,,,NAP1L1,,,,,,,
EIF3M,,,,,ALDH1A1,,,,,,,
OR52B2,,,,,NUP214,,,,,,,
ETS1,,,,,SIK1,,,,,,,
GALNTL4,,,,,KLHDC3,,,,,,,
OR5AK2,,,,,CAMK1D,,,,,,,
OR8G1,,,,,OGDH,,,,,,,
TRIM29,,,,,GABRG3,,,,,,,
LGR5,,,,,RAB11FIP4,,,,,,,
ST8SIA1,,,,,CSNK1A1,,,,,,,
IPO8,,,,,RTF1,,,,,,,
SYT10,,,,,TRPC5,,,,,,,
SOX5,,,,,ING3,,,,,,,
MED13L,,,,,VPS35,,,,,,,
PHLDA1,,,,,TBR1,,,,,,,
DTX1,,,,,PRMT1,,,,,,,
SLC2A3,,,,,MSN,,,,,,,
C12orf49,,,,,PSMD13,,,,,,,
LOC387895,,,,,CNOT11,,,,,,,
MYO16,,,,,CSF1R,,,,,,,
LOC728192,,,,,MORC4,,,,,,,
KCTD12,,,,,LMNA,,,,,,,
SPATA13,,,,,BTBD11,,,,,,,
CRYL1,,,,,PROX1,,,,,,,
POMP,,,,,SPECC1L,,,,,,,
GTF3A,,,,,ERBB2IP,,,,,,,
IPO5,,,,,ETS2,,,,,,,
POU4F1,,,,,PABPC1L,,,,,,,
LOC100507064,,,,,ANGPT1,,,,,,,
ENOX1,,,,,CRY2,,,,,,,
EPSTI1,,,,,CLCN3,,,,,,,
PCDH9,,,,,SERPINC1,,,,,,,
LIG4,,,,,ASB7,,,,,,,
TTC7B,,,,,MAOA,,,,,,,
SYT16,,,,,MDGA2,,,,,,,
DIO3OS,,,,,RBFOX2,,,,,,,
ZFHX2,,,,,CTD-2116N17.1,,,,,,,
RNASE3,,,,,USP1,,,,,,,
ABCD4,,,,,TRIM71,,,,,,,
NCRNA00238,,,,,JAKMIP1,,,,,,,
NFKBIA,,,,,ACVR2B,,,,,,,
SPRED1,,,,,CIZ1,,,,,,,
CHSY1,,,,,SNRNP70,,,,,,,
MRPL46,,,,,ANO1,,,,,,,
C15orf59,,,,,DLGAP1,,,,,,,
MEF2A,,,,,KPNA1,,,,,,,
MCTP2,,,,,ELMO1,,,,,,,
WDR72,,,,,SRSF6,,,,,,,
MEX3B,,,,,C17orf85,,,,,,,
SLCO3A1,,,,,BCAR1,,,,,,,
FOXB1,,,,,ANO8,,,,,,,
DYNLRB2,,,,,COPS3,,,,,,,
LCMT1,,,,,ZRANB2,,,,,,,
CDH11,,,,,RSRC2,,,,,,,
WFDC1,,,,,PLXNB2,,,,,,,
GRIN2A,,,,,ATP11B,,,,,,,
CRNDE,,,,,DLC1,,,,,,,
LOC644649,,,,,ANKS1B,,,,,,,
FLJ45079,,,,,ASXL2,,,,,,,
GNA13,,,,,CPEB2,,,,,,,
CACNG4,,,,,PATZ1,,,,,,,
CDRT7,,,,,MOSPD2,,,,,,,
SSTR2,,,,,HERC4,,,,,,,
PHB,,,,,PTBP2,,,,,,,
C17orf108,,,,,HNRNPA3,,,,,,,
C17orf102,,,,,NLGN2,,,,,,,
SALL3,,,,,EVL,,,,,,,
ZNF396,,,,,SRPR,,,,,,,
MIR187,,,,,PSPC1,,,,,,,
TMX3,,,,,SART1,,,,,,,
MIR3975,,,,,SPOP,,,,,,,
TCF4,,,,,USF2,,,,,,,
VPS4B,,,,,ILKAP,,,,,,,
SIGLEC6,,,,,TMEM57,,,,,,,
ZNF91,,,,,PABPC4,,,,,,,
ZNF850,,,,,CDH9,,,,,,,
LOC148145,,,,,KIF3A,,,,,,,
NFIC,,,,,Sep-07,,,,,,,
ZNRF4,,,,,NR6A1,,,,,,,
WFDC6,,,,,ZNF629,,,,,,,
C20orf20,,,,,SP3,,,,,,,
CDC25B,,,,,ZNF280C,,,,,,,
GGTLC1,,,,,ARGLU1,,,,,,,
C20orf108,,,,,SIN3B,,,,,,,
BMP2,,,,,ACTL6A,,,,,,,
D21S2088E,,,,,ADAMTS2,,,,,,,
NCRNA00323,,,,,TXLNG,,,,,,,
HSF2BP,,,,,MYO5A,,,,,,,
IGSF5,,,,,TPX2,,,,,,,
CYYR1,,,,,ATL1,,,,,,,
NCRNA00320,,,,,MYBL2,,,,,,,
NCRNA00159,,,,,PDHA1,,,,,,,
ISX,,,,,NUFIP2,,,,,,,
PRR5-ARHGAP8,,,,,ZBTB44,,,,,,,
SMTN,,,,,TRIM8,,,,,,,
LOC339685,,,,,SRSF1,,,,,,,
NR5A2,,,,,PATL1,,,,,,,
HSP90AA4P,,,,,PRICKLE1,,,,,,,
MIR129-1,,,,,PTPN14,,,,,,,
SEH1L,,,,,GNL3L,,,,,,,
CXorf18,,,,,DLGAP4,,,,,,,
OTUD3,,,,,BAHD1,,,,,,,
FBXO28,,,,,CSNK1D,,,,,,,
DMRTA2,,,,,SLC6A8,,,,,,,
ADAM30,,,,,TBX5,,,,,,,
ZFP36L2,,,,,NKTR,,,,,,,
LOC285000,,,,,ARHGAP6,,,,,,,
LOC646324,,,,,FRMD5,,,,,,,
NBAS,,,,,SLIT3,,,,,,,
THSD7B,,,,,DENND5A,,,,,,,
GYPC,,,,,RLIM,,,,,,,
MRPL19,,,,,STK40,,,,,,,
LOC100288911,,,,,SART3,,,,,,,
IL1B,,,,,SHOC2,,,,,,,
RHOB,,,,,BMPR1B,,,,,,,
PCDH7,,,,,HSPA14,,,,,,,
TECRL,,,,,AZIN1,,,,,,,
EDNRA,,,,,NPR2,,,,,,,
MGC45800,,,,,B4GALT5,,,,,,,
MSX1,,,,,HP1BP3,,,,,,,
SLIT2,,,,,ATP5B,,,,,,,
ZFP42,,,,,SGTB,,,,,,,
CPEB4,,,,,AP1B1,,,,,,,
GRIA1,,,,,SCFD1,,,,,,,
CDH6,,,,,GOLGA3,,,,,,,
TRIO,,,,,CLSPN,,,,,,,
GUSBP1,,,,,COLEC12,,,,,,,
C5orf15,,,,,MLLT1,,,,,,,
CCDC162P,,,,,ATP6V1B2,,,,,,,
LOC154092,,,,,NR4A2,,,,,,,
RIMS1,,,,,CCDC132,,,,,,,
ZNF311,,,,,MAP4K1,,,,,,,
OR14J1,,,,,MTF1,,,,,,,
LOC285733,,,,,POLD3,,,,,,,
TIAM2,,,,,AGAP3,,,,,,,
ZNF165,,,,,PACSIN1,,,,,,,
TFAP2A,,,,,CPSF7,,,,,,,
PIK3CG,,,,,KBTBD2,,,,,,,
NPY,,,,,PHF23,,,,,,,
KCNH2,,,,,ARHGEF3,,,,,,,
FSCN1,,,,,WAS,,,,,,,
KBTBD11,,,,,NRIP1,,,,,,,
SAMD12,,,,,RAE1,,,,,,,
GOLGA7,,,,,YTHDF2,,,,,,,
TRMT12,,,,,RPL7,,,,,,,
SLC7A2,,,,,PREP,,,,,,,
FAM135B,,,,,KDM1A,,,,,,,
C9orf103,,,,,DDR2,,,,,,,
MTAP,,,,,COL4A6,,,,,,,
RASEF,,,,,ARPC2,,,,,,,
TLE1,,,,,NYAP1,,,,,,,
PALM2-AKAP2,,,,,PRPF38B,,,,,,,
C9orf106,,,,,TFAP2B,,,,,,,
DBH,,,,,LIMK1,,,,,,,
JAKMIP3,,,,,NPAS2,,,,,,,
MIR3924,,,,,MEIS1,,,,,,,
PHYHIPL,,,,,MARK1,,,,,,,
ZNF239,,,,,NCOA6,,,,,,,
AKR1C1,,,,,GPR116,,,,,,,
MIR4300,,,,,C7orf60,,,,,,,
CASP12,,,,,NFIB,,,,,,,
DCDC1,,,,,ZC3H7B,,,,,,,
PIK3C2G,,,,,PTPRU,,,,,,,
IFNG,,,,,GMEB2,,,,,,,
LOC100507250,,,,,UBXN7,,,,,,,
NTF3,,,,,YBX1,,,,,,,
LOC348021,,,,,FBXO21,,,,,,,
MIR622,,,,,GAB3,,,,,,,
PRR20B,,,,,NUP155,,,,,,,
PABPC3,,,,,DHX36,,,,,,,
ZIC2,,,,,DCUN1D1,,,,,,,
SFTA3,,,,,NR2E1,,,,,,,
LOC283547,,,,,ZNF423,,,,,,,
NPAS3,,,,,ARHGAP17,,,,,,,
SECISBP2L,,,,,NCKAP1L,,,,,,,
NR2F2,,,,,RAD51,,,,,,,
USP3,,,,,USP15,,,,,,,
LOC645752,,,,,LTBP4,,,,,,,
C15orf41,,,,,C10orf2,,,,,,,
LOC146513,,,,,PSMA3,,,,,,,
C16orf72,,,,,JAG2,,,,,,,
CBLN1,,,,,USP25,,,,,,,
TMEM188,,,,,TRPS1,,,,,,,
KDM6B,,,,,CCNC,,,,,,,
AIPL1,,,,,AP3B2,,,,,,,
HS3ST3A1,,,,,FADS2,,,,,,,
CDH7,,,,,AGO4,,,,,,,
EPB41L3,,,,,DKFZP761J1410,,,,,,,
CDH2,,,,,BLNK,,,,,,,
LRP3,,,,,SLC2A14,,,,,,,
ZNF701,,,,,GRM1,,,,,,,
CEACAM21,,,,,INTS8,,,,,,,
CD70,,,,,ADCY5,,,,,,,
ZNF100,,,,,PAPOLG,,,,,,,
NCOA3,,,,,ARHGAP36,,,,,,,
MAFB,,,,,EPHB4,,,,,,,
LOC100289473,,,,,CREB5,,,,,,,
LOC149950,,,,,CCT7,,,,,,,
SNRPB2,,,,,RBBP4,,,,,,,
KRTAP19-8,,,,,MAGED2,,,,,,,
CLDN17,,,,,KCNJ3,,,,,,,
,,,,,SPATS2,,,,,,,
,,,,,ENG,,,,,,,
,,,,,TCF7L2,,,,,,,
,,,,,CRHBP,,,,,,,
,,,,,F9,,,,,,,
,,,,,UBAP2,,,,,,,
,,,,,RFX2,,,,,,,
,,,,,ZBED4,,,,,,,
,,,,,IP6K2,,,,,,,
,,,,,ZNF711,,,,,,,
,,,,,UHRF1BP1L,,,,,,,
,,,,,MBD2,,,,,,,
,,,,,GNB2,,,,,,,
,,,,,PIP4K2B,,,,,,,
,,,,,ASIC2,,,,,,,
,,,,,ASTN2,,,,,,,
,,,,,OXSR1,,,,,,,
,,,,,TGFB2,,,,,,,
,,,,,SESTD1,,,,,,,
,,,,,NAPB,,,,,,,
,,,,,EVI5L,,,,,,,
,,,,,TCP1,,,,,,,
,,,,,SARNP,,,,,,,
,,,,,NFIX,,,,,,,
,,,,,ZDHHC8,,,,,,,
,,,,,DPF1,,,,,,,
,,,,,SRC,,,,,,,
,,,,,SAE1,,,,,,,
,,,,,NPTN,,,,,,,
,,,,,LCP2,,,,,,,
,,,,,ATG4A,,,,,,,
,,,,,ABHD16A,,,,,,,
,,,,,STAT4,,,,,,,
,,,,,USP10,,,,,,,
,,,,,CDK17,,,,,,,
,,,,,KPNA6,,,,,,,
,,,,,CLCN4,,,,,,,
,,,,,GRIA4,,,,,,,
,,,,,FGFR1,,,,,,,
,,,,,ZNF219,,,,,,,
,,,,,AMOT,,,,,,,
,,,,,PRPF40B,,,,,,,
,,,,,OSGIN2,,,,,,,
,,,,,PPP6C,,,,,,,
,,,,,UBASH3B,,,,,,,
,,,,,TMEM63C,,,,,,,
,,,,,ATG4B,,,,,,,
,,,,,SEMA3A,,,,,,,
,,,,,SLITRK1,,,,,,,
,,,,,TRA2B,,,,,,,
,,,,,PDE2A,,,,,,,
,,,,,FLRT3,,,,,,,
,,,,,FANCB,,,,,,,
,,,,,G3BP1,,,,,,,
,,,,,SREK1,,,,,,,
,,,,,OSBPL8,,,,,,,
,,,,,KLHL9,,,,,,,
,,,,,ALCAM,,,,,,,
,,,,,GCM1,,,,,,,
,,,,,ASIC1,,,,,,,
,,,,,RPL6,,,,,,,
,,,,,RNF144A,,,,,,,
,,,,,FNTA,,,,,,,
,,,,,SLC8A1,,,,,,,
,,,,,SMAD2,,,,,,,
,,,,,POLR2B,,,,,,,
,,,,,SLC9A3,,,,,,,
,,,,,ATP6V0D1,,,,,,,
,,,,,EZR,,,,,,,
,,,,,PSME3,,,,,,,
,,,,,PPP4R2,,,,,,,
,,,,,GPC3,,,,,,,
,,,,,TRIM9,,,,,,,
,,,,,RBM14,,,,,,,
,,,,,GDI1,,,,,,,
,,,,,SRGAP1,,,,,,,
,,,,,RGL1,,,,,,,
,,,,,HSP90B1,,,,,,,
,,,,,PRICKLE2,,,,,,,
,,,,,PLS3,,,,,,,
,,,,,CACNG3,,,,,,,
,,,,,TNR,,,,,,,
,,,,,EPHA7,,,,,,,
,,,,,BTBD2,,,,,,,
,,,,,ARNTL,,,,,,,
,,,,,POFUT1,,,,,,,
,,,,,NAB2,,,,,,,
,,,,,GXYLT1,,,,,,,
,,,,,KIAA1244,,,,,,,
,,,,,ARIH2,,,,,,,
,,,,,GNAL,,,,,,,
,,,,,JPH4,,,,,,,
,,,,,FBXO30,,,,,,,
,,,,,PSD,,,,,,,
,,,,,ANAPC2,,,,,,,
,,,,,SENP7,,,,,,,
,,,,,CDKN2AIP,,,,,,,
,,,,,TFAP2A,,,,,,,
,,,,,ESR1,,,,,,,
,,,,,SSH1,,,,,,,
,,,,,GDI2,,,,,,,
,,,,,ACTL6B,,,,,,,
,,,,,MMP14,,,,,,,
,,,,,EXOC8,,,,,,,
,,,,,ARHGAP32,,,,,,,
,,,,,IGSF3,,,,,,,
,,,,,NUP188,,,,,,,
,,,,,PCGF1,,,,,,,
,,,,,ARHGAP5,,,,,,,
,,,,,ITPK1,,,,,,,
,,,,,PCBP2,,,,,,,
,,,,,FAM171A1,,,,,,,
,,,,,PAK3,,,,,,,
,,,,,APBB1,,,,,,,
,,,,,MFAP1,,,,,,,
,,,,,ZNF628,,,,,,,
,,,,,KCTD3,,,,,,,
,,,,,PDE8B,,,,,,,
,,,,,ERCC6L,,,,,,,
,,,,,ARRB1,,,,,,,
,,,,,BEND4,,,,,,,
,,,,,IL2RB,,,,,,,
,,,,,DDN,,,,,,,
,,,,,ELF3,,,,,,,
,,,,,CAPZA2,,,,,,,
,,,,,U2AF1,,,,,,,
,,,,,SMC1B,,,,,,,
,,,,,PKNOX1,,,,,,,
,,,,,ATP6V1A,,,,,,,
,,,,,CNOT7,,,,,,,
,,,,,SGK1,,,,,,,
,,,,,IWS1,,,,,,,
,,,,,PTPN9,,,,,,,
,,,,,JPH3,,,,,,,
,,,,,ZFX,,,,,,,
,,,,,ZBTB21,,,,,,,
,,,,,SLC6A14,,,,,,,
,,,,,C16orf72,,,,,,,
,,,,,FBXO33,,,,,,,
,,,,,SMAD5,,,,,,,
,,,,,EDNRA,,,,,,,
,,,,,GRM5,,,,,,,
,,,,,MRC2,,,,,,,
,,,,,TAF5L,,,,,,,
,,,,,HNRNPC,,,,,,,
,,,,,UTP15,,,,,,,
,,,,,IKZF1,,,,,,,
,,,,,PDCD10,,,,,,,
,,,,,ALB,,,,,,,
,,,,,MAP2K7,,,,,,,
,,,,,SREBF1,,,,,,,
,,,,,KCNQ3,,,,,,,
,,,,,PPP1R26,,,,,,,
,,,,,PPP2CA,,,,,,,
,,,,,TNFRSF1A,,,,,,,
,,,,,DNAJA2,,,,,,,
,,,,,PPM1A,,,,,,,
,,,,,ELF2,,,,,,,
,,,,,NFATC4,,,,,,,
,,,,,SNX13,,,,,,,
,,,,,ANTXR1,,,,,,,
,,,,,HSPD1,,,,,,,
,,,,,CHAMP1,,,,,,,
,,,,,KCNQ4,,,,,,,
,,,,,XYLT1,,,,,,,
,,,,,MID2,,,,,,,
,,,,,GLA,,,,,,,
,,,,,PRR14L,,,,,,,
,,,,,GRAMD1B,,,,,,,
,,,,,GRM3,,,,,,,
,,,,,DNAJC2,,,,,,,
,,,,,CADM2,,,,,,,
,,,,,TTL,,,,,,,
,,,,,GPS1,,,,,,,
,,,,,PDXK,,,,,,,
,,,,,AIFM1,,,,,,,
,,,,,HHIP,,,,,,,
,,,,,ANKRD13D,,,,,,,
,,,,,CAPN6,,,,,,,
,,,,,PTK2B,,,,,,,
,,,,,MSL1,,,,,,,
,,,,,FBL,,,,,,,
,,,,,KDR,,,,,,,
,,,,,EEF1A1,,,,,,,
,,,,,AGPAT1,,,,,,,
,,,,,KCNH7,,,,,,,
,,,,,PPEF1,,,,,,,
,,,,,GNAQ,,,,,,,
,,,,,USP3,,,,,,,
,,,,,AKAP4,,,,,,,
,,,,,PSMD4,,,,,,,
,,,,,ATG13,,,,,,,
,,,,,GNAO1,,,,,,,
,,,,,PAX5,,,,,,,
,,,,,INTS10,,,,,,,
,,,,,UST,,,,,,,
,,,,,KLHL18,,,,,,,
,,,,,PPIG,,,,,,,
,,,,,GRK5,,,,,,,
,,,,,CCNJ,,,,,,,
,,,,,CRTC3,,,,,,,
,,,,,PPP2R4,,,,,,,
,,,,,ZFP91,,,,,,,
,,,,,SNED1,,,,,,,
,,,,,TMEM108,,,,,,,
,,,,,YTHDF1,,,,,,,
,,,,,SMAP1,,,,,,,
,,,,,ARHGAP4,,,,,,,
,,,,,ZEB1,,,,,,,
,,,,,MAPK8,,,,,,,
,,,,,EIF4E,,,,,,,
,,,,,SOX9,,,,,,,
,,,,,EIF3G,,,,,,,
,,,,,TBX1,,,,,,,
,,,,,ZNF496,,,,,,,
,,,,,ATF7,,,,,,,
,,,,,RBBP7,,,,,,,
,,,,,USP22,,,,,,,
,,,,,PRKAR2A,,,,,,,
,,,,,HIAT1,,,,,,,
,,,,,TP63,,,,,,,
,,,,,RAB11A,,,,,,,
,,,,,PDE4D,,,,,,,
,,,,,GRHL1,,,,,,,
,,,,,G3BP2,,,,,,,
,,,,,PLXNA3,,,,,,,
,,,,,GRM2,,,,,,,
,,,,,ARHGEF9,,,,,,,
,,,,,CAPZA1,,,,,,,
,,,,,HSPH1,,,,,,,
,,,,,SRRT,,,,,,,
,,,,,OFD1,,,,,,,
,,,,,ACRC,,,,,,,
,,,,,DLL4,,,,,,,
PCDHGA2PCDHGA3,,,,,RABEP1,,,,,,,
PCDHGA2PCDHGA3,,,,,PHF17,,,,,,,
,,,,,CCT8,,,,,,,
,,,,,CTIF,,,,,,,
,,,,,TSG101,,,,,,,
,,,,,MON2,,,,,,,
,,,,,COBL,,,,,,,
,,,,,MDH1,,,,,,,
,,,,,CACNA1B,,,,,,,
,,,,,KCNB1,,,,,,,
,,,,,UGCG,,,,,,,
,,,,,NAMPT,,,,,,,
,,,,,ZBTB20,,,,,,,
,,,,,AKAP8,,,,,,,
,,,,,BCL6,,,,,,,
,,,,,FBXL19,,,,,,,
,,,,,MTMR1,,,,,,,
,,,,,LRCH1,,,,,,,
,,,,,ZDHHC14,,,,,,,
,,,,,RAVER1,,,,,,,
,,,,,NR2C1,,,,,,,
,,,,,SLC6A6,,,,,,,
,,,,,KLF12,,,,,,,
,,,,,ABCD1,,,,,,,
,,,,,FBXO5,,,,,,,
,,,,,MAGED1,,,,,,,
,,,,,PLEKHA6,,,,,,,
,,,,,ADRM1,,,,,,,
,,,,,MAPK1,,,,,,,
,,,,,ACBD3,,,,,,,
,,,,,BCORL1,,,,,,,
,,,,,TBC1D10B,,,,,,,
,,,,,KDM3A,,,,,,,
,,,,,NEMF,,,,,,,
,,,,,EIF3M,,,,,,,
,,,,,FSTL4,,,,,,,
,,,,,TFAP2D,,,,,,,
,,,,,MBNL1,,,,,,,
,,,,,ATG5,,,,,,,
,,,,,FBRS,,,,,,,
,,,,,KANK2,,,,,,,
,,,,,GABRA4,,,,,,,
,,,,,STS,,,,,,,
,,,,,DAB1,,,,,,,
,,,,,SKI,,,,,,,
,,,,,SPRTN,,,,,,,
,,,,,BMP7,,,,,,,
,,,,,CLCN7,,,,,,,
,,,,,BRIX1,,,,,,,
,,,,,HSPA9,,,,,,,
,,,,,SH3RF3,,,,,,,
,,,,,KLF4,,,,,,,
,,,,,OTC,,,,,,,
,,,,,C17orf75,,,,,,,
,,,,,RUFY3,,,,,,,
,,,,,CDH6,,,,,,,
,,,,,TSKS,,,,,,,
,,,,,PPIE,,,,,,,
,,,,,MCU,,,,,,,
,,,,,CHMP7,,,,,,,
,,,,,SMARCD2,,,,,,,
,,,,,TARDBP,,,,,,,
,,,,,HIF1A,,,,,,,
,,,,,LPCAT3,,,,,,,
,,,,,NPAS3,,,,,,,
,,,,,CRTC1,,,,,,,
,,,,,CDH20,,,,,,,
,,,,,CLPTM1,,,,,,,
,,,,,KCND2,,,,,,,
,,,,,DAB2,,,,,,,
,,,,,PTPRK,,,,,,,
,,,,,SMC5,,,,,,,
,,,,,ADAMTS10,,,,,,,
,,,,,PCBP3,,,,,,,
,,,,,HSPA12A,,,,,,,
,,,,,PRDM1,,,,,,,
,,,,,SYNPO,,,,,,,
,,,,,PI4K2A,,,,,,,
,,,,,AKT1,,,,,,,
,,,,,ATL2,,,,,,,
,,,,,ZBTB16,,,,,,,
,,,,,STT3B,,,,,,,
,,,,,SEPHS1,,,,,,,
,,,,,C10orf12,,,,,,,
,,,,,AP4E1,,,,,,,
,,,,,ZBTB2,,,,,,,
,,,,,FAM126B,,,,,,,
,,,,,PIKFYVE,,,,,,,
,,,,,IPO8,,,,,,,
,,,,,RAB35,,,,,,,
,,,,,CTBP1,,,,,,,
,,,,,GATA2,,,,,,,
,,,,,CDC25A,,,,,,,
,,,,,HINFP,,,,,,,
,,,,,TMEM39A,,,,,,,
,,,,,TTYH3,,,,,,,
,,,,,GPKOW,,,,,,,
,,,,,LYPLA2,,,,,,,
,,,,,CADM4,,,,,,,
,,,,,ZBTB38,,,,,,,
,,,,,COL4A3BP,,,,,,,
,,,,,MKRN1,,,,,,,
,,,,,RPL7A,,,,,,,
,,,,,LOX,,,,,,,
,,,,,NFKBIA,,,,,,,
,,,,,GRM4,,,,,,,
,,,,,DYRK2,,,,,,,
,,,,,NIPSNAP1,,,,,,,
,,,,,XIAP,,,,,,,
,,,,,IDS,,,,,,,
,,,,,NUCKS1,,,,,,,
,,,,,NDEL1,,,,,,,
,,,,,PSMC3,,,,,,,
,,,,,SLC25A14,,,,,,,
,,,,,IL13RA1,,,,,,,
,,,,,DSG1,,,,,,,
,,,,,FRS2,,,,,,,
,,,,,PLCB1,,,,,,,
,,,,,CYC1,,,,,,,
,,,,,ATG3,,,,,,,
,,,,,LAMP1,,,,,,,
,,,,,STT3A,,,,,,,
,,,,,RGS7BP,,,,,,,
,,,,,PTBP3,,,,,,,
,,,,,ARRDC3,,,,,,,
,,,,,FKBP8,,,,,,,
,,,,,EHF,,,,,,,
,,,,,GIGYF1,,,,,,,
,,,,,RPLP0,,,,,,,
,,,,,NTRK3,,,,,,,
,,,,,C17orf104,,,,,,,
,,,,,TFAP4,,,,,,,
,,,,,DHX37,,,,,,,
,,,,,THOC7,,,,,,,
,,,,,STK11,,,,,,,
,,,,,SLC12A6,,,,,,,
,,,,,MTA2,,,,,,,
,,,,,PODXL2,,,,,,,
,,,,,DYNC1LI1,,,,,,,
,,,,,ZNF326,,,,,,,
,,,,,WWP2,,,,,,,
,,,,,FBXL17,,,,,,,
,,,,,CRIM1,,,,,,,
,,,,,GLUL,,,,,,,
,,,,,GABRB1,,,,,,,
,,,,,CCNYL1,,,,,,,
,,,,,SUGT1,,,,,,,
,,,,,NOVA1,,,,,,,
,,,,,SLC40A1,,,,,,,
,,,,,AJAP1,,,,,,,
,,,,,XKR4,,,,,,,
,,,,,FBXL5,,,,,,,
,,,,,FOXJ3,,,,,,,
,,,,,PRKAG2,,,,,,,
,,,,,KIRREL3,,,,,,,
,,,,,LLGL1,,,,,,,
,,,,,MIER2,,,,,,,
,,,,,SGSM1,,,,,,,
,,,,,PCDH19,,,,,,,
,,,,,DGKD,,,,,,,
,,,,,Mar-07,,,,,,,
,,,,,GABRA2,,,,,,,
,,,,,PPP1R13B,,,,,,,
,,,,,ANP32E,,,,,,,
,,,,,ELAVL4,,,,,,,
,,,,,DEF6,,,,,,,
,,,,,SSBP2,,,,,,,
,,,,,SLC38A5,,,,,,,
,,,,,OTUD5,,,,,,,
,,,,,PDE4A,,,,,,,
,,,,,ARNT,,,,,,,
,,,,,PIK3C2B,,,,,,,
,,,,,FBXW2,,,,,,,
,,,,,SRSF3,,,,,,,
,,,,,CA11,,,,,,,
,,,,,LDB2,,,,,,,
,,,,,TP73,,,,,,,
,,,,,FBXO42,,,,,,,
,,,,,ZNF687,,,,,,,
,,,,,CRLF3,,,,,,,
,,,,,TUBG1,,,,,,,
,,,,,PTK7,,,,,,,
,,,,,MRC1,,,,,,,
,,,,,GPBP1,,,,,,,
,,,,,TOPORS,,,,,,,
,,,,,TDRD5,,,,,,,
,,,,,RTN4RL2,,,,,,,
,,,,,MLXIP,,,,,,,
,,,,,PHF20,,,,,,,
,,,,,NCAPG2,,,,,,,
,,,,,SMAD7,,,,,,,
,,,,,SLC9A6,,,,,,,
,,,,,H2AFY2,,,,,,,
,,,,,CADM3,,,,,,,
,,,,,VDAC1,,,,,,,
,,,,,YTHDF3,,,,,,,
,,,,,PTEN,,,,,,,
,,,,,TBC1D10A,,,,,,,
,,,,,RASIP1,,,,,,,
