,GSM329677.CEL,GSM329679.CEL,GSM329681.CEL,GSM329683.CEL,GSM329686.CEL,GSM329689.CEL,GSM329692.CEL,GSM329694.CEL,GSM329697.CEL,GSM329700.CEL,GSM329703.CEL,GSM329704.CEL,GSM329707.CEL,GSM329709.CEL,GSM329711.CEL,GSM329714.CEL,GSM329660.CEL,GSM329663.CEL,GSM329664.CEL,GSM329666.CEL,GSM329667.CEL,GSM329670.CEL,GSM329672.CEL,GSM329674.CEL
Statin Pathway (Wikipathways),1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1
Steroid biosynthesis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steroid Biosynthesis (Wikipathways),0,-1,-1,1,1,0,-1,-1,-1,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,-1,-1
Steroid hormone biosynthesis (KEGG),-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Striated Muscle Contraction (Wikipathways),0,0,1,1,1,1,1,0,0,0,-1,0,1,1,0,1,0,-1,0,0,1,0,0,0
Sulfation Biotransformation Reaction (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfur metabolism (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfur relay system (KEGG),1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Synaptic Transmission (Reactome),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Synthesis and degradation of ketone bodies (KEGG),0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1
Systemic lupus erythematosus (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Cell Receptor down reg. targets (Netpath),0,-1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,-1,-1
T cell receptor signaling pathway (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1
T Cell Receptor Signaling Pathway (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
T Cell Receptor up reg. targets (Netpath),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tamoxifen metabolism (Wikipathways),-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Taste transduction (KEGG),0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
Taurine and hypotaurine metabolism (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TCA Cycle (Wikipathways),0,1,0,-1,-1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
Terpenoid backbone biosynthesis (KEGG),0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFs Regulate miRNAs related to cardiac hypertrophy (Wikipathways),0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,0,0
TGF beta receptor down reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGF beta receptor up reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGF Beta Signaling Pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGF-beta Receptor Signaling Pathway (Wikipathways),0,-1,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,-1
TGF-beta signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0
Th1/Th2 (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Thyroid cancer (KEGG),0,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1
Tight junction (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNF alpha/NF-kB down reg. targets (Netpath),0,-1,1,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,0,-1,1,0,-1,-1
TNF alpha/NF-kB up reg. targets (Netpath),-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
TNF-alpha/NF-kB Signaling Pathway (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Toll-like receptor signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toll-like receptor signaling pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,-1
TOR signaling (Wikipathways),0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Toxoplasmosis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP53 network (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transcription (Reactome),-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Translation Factors (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Transmembrane transport of small molecules (Reactome),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Triacylglyceride Synthesis (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tryptophan metabolism (KEGG),0,0,1,0,-1,0,0,1,0,0,0,0,1,1,0,-1,0,0,0,1,0,-1,1,0
Tryptophan metabolism (Wikipathways),-1,-1,0,0,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
Tuberculosis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Type I diabetes mellitus (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Type II diabetes mellitus (KEGG),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1
Type II diabetes mellitus (Wikipathways),-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0
Type II interferon signaling (IFNG) (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrosine metabolism (KEGG),-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0
Ubiquinone and other terpenoid-quinone biosynthesis (KEGG),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Ubiquitin mediated proteolysis (KEGG),-1,0,-1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Urea cycle and metabolism of amino groups (Wikipathways),1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Valine, leucine and isoleucine biosynthesis (KEGG)",0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,0
"Valine, leucine and isoleucine degradation (KEGG)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,-1,1,0
Vascular smooth muscle contraction (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vasopressin-regulated water reabsorption (KEGG),1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
VEGF signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio cholerae infection (KEGG),-1,1,0,-1,-1,-1,1,1,1,1,1,0,0,1,0,1,0,1,-1,1,0,1,1,1
Viral myocarditis (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin A and carotenoid metabolism (Wikipathways),0,0,1,1,-1,1,1,0,0,0,-1,0,1,0,-1,-1,-1,0,0,0,1,-1,0,0
Vitamin B12 Metabolism (Wikipathways),0,-1,0,-1,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1
Vitamin B6 metabolism (KEGG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
Vitamin D synthesis (Wikipathways),0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Vitamin digestion and absorption (KEGG),-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Wnt down reg. targets (Netpath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wnt signaling pathway (KEGG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wnt Signaling Pathway (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wnt Signaling Pathway and Pluripotency (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wnt Signaling Pathway NetPath (Wikipathways),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wnt up reg. targets (Netpath),0,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1
